RUC_PROVEEDOR,TIPO_PROCEDIMIENTO,SUB_TOTAL,IGV,ACUERDO_MARCO,year,month,day
681,0,9298.9,1673.8,15,2022,5,12
681,0,2894.79,521.06,11,2022,5,12
454,0,22640.8,4075.34,11,2022,5,12
880,0,11220.78,2019.74,15,2022,5,12
895,0,4586.57,825.58,12,2022,5,12
1484,0,720.0,129.6,12,2022,5,12
381,0,198.03,35.65,12,2022,5,12
1484,0,670.0,120.6,12,2022,5,12
646,1,70209.66,12637.74,15,2022,5,12
1489,0,679.24,122.26,11,2022,5,12
260,0,1531.03,9.5,12,2022,5,12
1114,0,20949.6,3770.94,12,2022,5,12
260,0,12078.5,0.0,12,2022,5,12
970,0,15225.0,0.0,12,2022,5,12
1114,0,9630.32,1733.46,12,2022,5,12
1114,0,21732.5,3911.85,12,2022,5,12
1114,0,61984.09,11157.14,12,2022,5,12
1044,0,1703.0,306.54,3,2022,5,12
1114,0,6974.0,1255.32,12,2022,5,12
1364,0,3992.59,718.67,12,2022,5,12
144,1,23514.9,4232.68,3,2022,5,12
184,0,4800.0,864.0,14,2022,5,12
577,0,18550.0,3339.0,10,2022,5,12
847,0,26226.2,0.0,8,2022,5,12
462,0,2021.52,363.87,1,2022,5,12
990,0,66815.85,12026.86,3,2022,5,12
1466,0,17500.0,3150.0,2,2022,5,12
760,1,77369.52,13926.51,15,2022,5,12
1073,0,1437.25,258.71,3,2022,5,12
1371,0,14168.5,2550.33,4,2022,5,12
1265,0,9075.0,1633.5,3,2022,5,12
1220,0,1372.74,247.09,11,2022,5,12
1347,1,374508.0,67411.44,3,2022,5,12
488,0,62993.0,11338.74,3,2022,5,12
987,0,8500.0,1530.0,3,2022,5,12
119,0,11386.32,2049.54,12,2022,5,12
248,0,15850.4,2853.07,1,2022,5,12
248,0,9356.04,1684.09,1,2022,5,12
425,0,1144.0,205.92,12,2022,5,12
1217,0,6737.01,1212.63,11,2022,5,12
701,1,70817.0,12747.06,15,2022,5,12
646,0,9730.76,1751.54,15,2022,5,12
851,0,13034.0,2346.12,3,2022,5,12
1159,0,750.0,135.0,9,2022,5,12
760,1,15624.76,2812.46,15,2022,5,12
760,0,14456.93,2602.25,15,2022,5,12
987,1,289705.2,52146.94,3,2022,5,12
198,0,59438.52,10698.93,15,2022,5,12
858,0,2897.42,521.54,11,2022,5,12
1409,0,742.0,133.56,9,2022,5,12
1409,0,2153.0,387.54,9,2022,5,12
1409,0,2154.0,387.72,9,2022,5,12
544,0,3179.65,572.34,3,2022,5,12
1007,0,3170.95,570.77,11,2022,5,12
1362,0,5265.0,947.7,15,2022,5,12
456,0,9537.72,1716.79,11,2022,5,12
635,0,21661.52,3899.07,11,2022,5,12
602,0,43974.88,7915.48,15,2022,5,12
989,0,25128.5,4523.13,11,2022,5,12
454,0,61210.4,11017.87,11,2022,5,12
1327,0,1280.0,230.4,9,2022,5,12
1409,0,1126.0,202.68,9,2022,5,12
795,0,1440.9,259.36,15,2022,5,12
699,0,817.34,147.12,11,2022,5,12
53,0,2155.24,387.94,1,2022,5,12
1330,0,3100.0,0.0,11,2022,5,12
861,0,56288.52,10131.93,15,2022,5,12
585,0,190.0,34.2,9,2022,5,12
754,0,425.85,76.65,9,2022,5,12
1394,0,624.47,112.4,15,2022,5,12
783,1,168438.4,30318.91,15,2022,5,12
591,0,55080.0,9914.4,15,2022,5,12
811,0,508.0,91.44,12,2022,5,12
775,0,639.74,115.15,11,2022,5,12
1265,0,2758.89,496.6,3,2022,5,12
254,0,32440.0,5839.2,11,2022,5,12
404,0,8713.8,1568.48,9,2022,5,12
978,0,26730.0,4811.4,15,2022,5,12
660,0,2583.1,464.96,11,2022,5,12
386,0,1816.19,326.92,11,2022,5,12
424,0,6135.3,1104.35,11,2022,5,12
609,0,2946.71,530.41,11,2022,5,12
730,0,69223.39,12460.21,11,2022,5,12
394,0,25545.16,4598.13,11,2022,5,12
1310,0,20734.8,3732.26,11,2022,5,12
454,0,35968.2,6474.28,11,2022,5,12
770,0,48442.77,8719.7,11,2022,5,12
1361,0,6325.8,1138.64,11,2022,5,12
567,0,13803.22,2484.58,11,2022,5,12
1023,0,3588.75,645.97,11,2022,5,12
1322,0,6938.1,1248.86,11,2022,5,12
195,0,254.0,45.72,9,2022,5,12
1145,0,1891.04,340.39,9,2022,5,12
706,0,1740.0,313.2,9,2022,5,12
783,1,137018.1,24663.26,15,2022,5,12
783,1,40530.75,7295.54,15,2022,5,12
593,1,20088.15,3615.87,15,2022,5,12
397,1,289705.95,52147.07,15,2022,5,12
356,0,206.4,37.15,12,2022,5,12
1145,0,3264.0,587.52,12,2022,5,12
1145,0,1585.0,285.3,9,2022,5,12
1103,0,1959.2,352.66,12,2022,5,12
828,0,5041.12,907.4,1,2022,5,12
646,0,5573.39,1003.21,15,2022,5,12
71,0,8434.4,1518.19,15,2022,5,12
71,0,63258.0,11386.44,15,2022,5,12
266,0,1800.0,324.0,13,2022,5,12
1376,0,837.25,150.71,11,2022,5,12
701,1,107052.0,19269.36,11,2022,5,12
790,0,5557.5,1000.35,9,2022,5,12
556,0,11319.54,2037.52,1,2022,5,12
805,0,4122.9,742.12,1,2022,5,12
683,0,760.0,136.8,12,2022,5,12
628,0,2554.16,459.75,15,2022,5,12
795,0,11527.2,2074.9,15,2022,5,12
966,0,3385.8,609.44,1,2022,5,12
378,0,15552.0,2799.36,1,2022,5,12
805,0,891.0,160.38,0,2022,5,12
805,0,712.8,128.3,1,2022,5,12
805,0,785.7,141.43,1,2022,5,12
109,0,15603.84,2808.69,11,2022,5,12
58,0,38918.5,7005.33,3,2022,5,12
58,0,9638.91,1735.0,3,2022,5,12
984,0,76797.0,13823.46,3,2022,5,12
1283,0,84560.0,15220.8,3,2022,5,12
602,1,1498582.82,269744.91,15,2022,5,12
1050,0,10729.0,1931.22,5,2022,5,12
407,0,646.2,116.32,5,2022,5,12
224,0,3450.0,621.0,12,2022,5,12
435,0,1712.4,308.23,1,2022,5,12
39,0,3958.0,712.44,1,2022,5,12
1130,0,687.1,123.68,1,2022,5,12
1325,0,51013.8,9182.48,15,2022,5,12
669,0,4309.6,775.73,3,2022,5,12
724,0,1614.0,290.52,3,2022,5,12
701,1,54277.6,9769.97,15,2022,5,12
1467,0,34712.16,6248.19,11,2022,5,12
1443,0,838.0,150.84,12,2022,5,12
137,0,604.06,108.74,11,2022,5,12
142,0,656.04,118.09,15,2022,5,12
142,0,4174.8,751.46,11,2022,5,12
664,0,4572.4,823.03,15,2022,5,12
462,0,25299.32,4553.87,1,2022,5,12
378,0,6210.51,1117.89,1,2022,5,12
383,0,7449.96,1341.0,1,2022,5,12
462,0,24935.2,4488.33,1,2022,5,12
594,1,121680.0,21902.4,10,2022,5,12
740,0,660.43,118.88,11,2022,5,12
966,0,4432.96,797.93,1,2022,5,12
1223,0,2534.72,456.25,11,2022,5,12
1223,0,514.08,92.53,11,2022,5,12
1223,0,606.22,109.12,11,2022,5,12
1223,0,606.22,109.12,11,2022,5,12
1223,0,606.22,109.12,11,2022,5,12
1160,0,27450.0,4941.0,9,2022,5,12
705,0,84075.0,15133.5,9,2022,5,12
760,1,497520.6,89553.71,15,2022,5,12
417,1,933979.2,168116.26,11,2022,5,12
987,0,14918.0,2685.24,5,2022,5,12
717,0,63838.08,11490.85,3,2022,5,12
1361,0,7409.35,1333.68,11,2022,5,12
594,1,2894.4,521.0,10,2022,5,12
594,1,45778.32,8240.1,10,2022,5,12
594,1,29749.0,5354.82,10,2022,5,12
583,1,188000.0,33840.0,10,2022,5,12
257,0,9345.0,1682.1,3,2022,5,12
594,1,192096.0,34577.28,10,2022,5,12
594,1,17700.0,3186.0,10,2022,5,12
594,1,70756.56,12736.18,10,2022,5,12
1288,0,81650.0,14697.0,9,2022,5,12
1288,0,81650.0,14697.0,9,2022,5,12
1288,0,81650.0,14697.0,9,2022,5,12
594,0,30067.2,5412.1,10,2022,5,12
594,1,500006.4,90001.15,10,2022,5,12
453,1,399600.0,71928.0,10,2022,5,12
635,0,2105.5,378.99,11,2022,5,12
403,0,1366.64,246.0,11,2022,5,12
594,1,63231.6,11381.68,10,2022,5,12
594,1,41760.0,7516.8,10,2022,5,12
394,0,914.08,164.54,11,2022,5,12
594,1,219504.0,39510.72,10,2022,5,12
1110,0,449.84,80.97,11,2022,5,12
1319,0,1838.1,330.86,11,2022,5,12
594,1,45097.94,8117.63,10,2022,5,12
1327,1,81812.0,14726.16,9,2022,5,12
594,1,116709.6,21007.73,10,2022,5,12
1268,1,141900.0,25542.0,10,2022,5,12
594,1,49459.2,8902.66,10,2022,5,12
594,1,22339.2,4021.06,10,2022,5,12
594,1,83614.72,15050.65,10,2022,5,12
70,0,2720.0,489.6,12,2022,5,12
70,0,878.94,158.21,12,2022,5,12
577,0,2226.0,400.68,10,2022,5,12
594,1,423411.2,76214.02,10,2022,5,12
594,1,3372.5,607.05,10,2022,5,12
594,1,10295.0,1853.1,10,2022,5,12
594,1,94640.0,17035.2,10,2022,5,12
594,1,6286.82,1131.63,10,2022,5,12
594,1,58930.0,10607.4,10,2022,5,12
1268,1,19690.56,3544.3,10,2022,5,12
594,1,21624.0,3892.32,10,2022,5,12
594,1,9141.6,1645.49,10,2022,5,12
594,1,6944.76,1250.05,10,2022,5,12
594,1,11830.0,2129.4,10,2022,5,12
594,1,56304.0,10134.72,10,2022,5,12
594,1,7168.0,1290.24,10,2022,5,12
594,0,38867.5,6996.15,10,2022,5,12
594,1,39364.8,7085.66,10,2022,5,12
594,1,30408.6,5473.55,10,2022,5,12
488,0,65499.8,11789.96,3,2022,5,12
1024,0,4752.0,855.36,12,2022,5,12
1029,0,5525.84,994.65,2,2022,5,12
1466,0,1618.0,291.24,2,2022,5,12
1339,0,1600.0,288.0,12,2022,5,12
594,1,149903.52,26982.63,10,2022,5,12
198,0,5154.43,927.8,15,2022,5,12
577,0,9158.4,1648.51,10,2022,5,12
751,0,1072.79,193.1,15,2022,5,12
702,0,25650.75,4617.14,3,2022,5,12
856,0,3390.0,610.2,12,2022,5,12
1353,0,3493.2,628.78,12,2022,5,12
1036,0,3100.0,558.0,12,2022,5,12
1038,0,1839.1,331.04,11,2022,5,12
866,0,6900.0,1242.0,12,2022,5,12
919,0,12162.96,2189.33,1,2022,5,12
594,0,34980.0,6296.4,10,2022,5,12
767,0,4560.0,820.8,9,2022,5,12
577,0,720.0,129.6,10,2022,5,12
756,0,10200.0,1836.0,12,2022,5,12
583,1,5120.0,921.6,10,2022,5,12
416,0,57960.0,10432.8,9,2022,5,12
1173,0,1054.04,189.73,1,2022,5,12
594,1,51000.0,9180.0,10,2022,5,12
594,1,67500.0,12150.0,10,2022,5,12
558,0,1765.58,317.8,12,2022,5,12
358,0,2460.0,442.8,12,2022,5,12
454,0,1533.87,276.1,11,2022,5,12
565,0,748.3,0.0,12,2022,5,12
1185,0,2392.5,430.65,11,2022,5,12
912,0,5260.2,946.84,11,2022,5,12
347,0,240.0,43.2,12,2022,5,12
786,0,52880.0,9518.4,3,2022,5,12
676,0,12294.57,2213.02,11,2022,5,12
450,0,4800.0,0.0,15,2022,5,12
1309,0,496.2,89.32,11,2022,5,12
364,0,2674.48,481.41,11,2022,5,12
1220,0,35960.0,6472.8,12,2022,5,12
109,0,1292.0,232.56,12,2022,5,12
594,1,48300.0,8694.0,10,2022,5,12
1484,0,65.12,11.72,12,2022,5,12
26,1,2450.0,441.0,12,2022,5,12
1349,0,142.48,25.64,12,2022,5,12
1507,0,56.16,10.1,12,2022,5,12
1222,0,123.52,22.23,12,2022,5,12
747,0,4636.0,834.48,12,2022,5,12
516,0,13353.13,2403.56,15,2022,5,12
1073,0,1236.0,222.48,14,2022,5,12
184,0,585.0,105.3,14,2022,5,12
526,0,3940.48,709.29,1,2022,5,12
1497,0,2691.7,484.51,11,2022,5,12
518,1,135840.0,24451.2,12,2022,5,12
877,0,7770.0,1398.6,12,2022,5,12
210,0,2717.53,489.16,12,2022,5,12
157,0,336.0,60.48,12,2022,5,12
321,0,733.99,132.11,11,2022,5,12
321,0,1318.82,237.39,11,2022,5,12
966,0,48213.08,8678.35,1,2022,5,12
210,0,79.5,14.31,12,2022,5,12
1312,0,1726.95,310.85,12,2022,5,12
825,0,530.01,95.4,11,2022,5,12
825,0,257.66,46.38,11,2022,5,12
825,0,257.66,46.38,11,2022,5,12
825,0,257.66,46.38,11,2022,5,12
853,0,3657.0,658.26,12,2022,5,12
746,0,418.02,75.24,11,2022,5,12
825,0,408.2,73.48,11,2022,5,12
825,0,408.2,73.48,11,2022,5,12
825,0,408.2,73.48,11,2022,5,12
825,0,816.4,146.95,11,2022,5,12
825,0,93.72,16.87,11,2022,5,12
825,0,93.72,16.87,11,2022,5,12
825,0,93.72,16.87,11,2022,5,12
1010,0,219.84,39.57,11,2022,5,12
1010,0,94.2,16.96,11,2022,5,12
1010,0,94.2,16.96,11,2022,5,12
1010,0,94.2,16.96,11,2022,5,12
825,0,529.89,95.38,11,2022,5,12
1023,0,2423.72,436.27,11,2022,5,12
825,0,2932.02,527.76,11,2022,5,12
825,0,266.9,48.04,11,2022,5,12
825,0,187.44,33.74,11,2022,5,12
1222,0,1533.7,276.07,12,2022,5,12
1299,0,587.6,105.77,12,2022,5,12
1309,0,1728.2,311.07,11,2022,5,12
507,0,6724.2,1210.36,11,2022,5,12
1470,0,188.76,33.98,11,2022,5,12
1319,0,7567.4,1362.13,11,2022,5,12
507,0,27296.1,4913.3,11,2022,5,12
1470,0,648.95,116.81,11,2022,5,12
1330,0,5102.52,918.45,11,2022,5,12
1455,0,139.5,25.11,12,2022,5,12
98,0,2893.73,520.87,15,2022,5,12
614,0,1760.0,316.8,2,2022,5,12
1083,0,3557.5,640.35,12,2022,5,12
1160,0,1110.0,199.8,9,2022,5,12
838,0,732.18,131.79,11,2022,5,12
1286,0,811.4,0.0,11,2022,5,12
499,1,4235.14,762.33,12,2022,5,12
891,0,6474.0,1165.32,12,2022,5,12
714,0,869.74,156.55,11,2022,5,12
330,0,3452.38,621.43,1,2022,5,12
858,0,3032.5,545.85,12,2022,5,12
454,0,4180.2,752.44,11,2022,5,12
1327,0,3040.2,547.24,9,2022,5,12
1473,0,3052.5,549.45,9,2022,5,12
287,0,1107.0,0.0,12,2022,5,12
309,0,1260.0,226.8,12,2022,5,12
1339,0,2048.0,368.64,12,2022,5,12
863,0,1287.0,231.66,11,2022,5,12
321,0,362.79,65.3,11,2022,5,12
113,0,176.8,31.82,12,2022,5,12
1073,0,10507.2,1891.3,14,2022,5,12
529,0,9587.76,1725.8,9,2022,5,12
529,0,4550.0,819.0,9,2022,5,12
1185,0,5755.68,1036.03,11,2022,5,12
584,0,1170.0,210.6,1,2022,5,12
346,0,164.4,29.59,12,2022,5,12
1339,0,295.5,53.19,9,2022,5,12
1473,0,377.2,67.9,9,2022,5,12
381,1,135840.0,24451.2,12,2022,5,12
346,0,274.0,49.32,12,2022,5,12
321,0,718.28,129.29,11,2022,5,12
790,0,2854.6,513.83,12,2022,5,12
346,0,328.8,59.18,12,2022,5,12
321,0,663.18,119.37,11,2022,5,12
162,0,177.6,31.97,12,2022,5,12
1073,0,485.52,87.39,2,2022,5,12
321,0,663.18,119.37,11,2022,5,12
1324,0,236.8,42.62,12,2022,5,12
863,0,312.16,56.2,11,2022,5,12
1222,0,92.72,16.69,12,2022,5,12
1324,0,651.2,117.22,12,2022,5,12
747,0,798.6,143.75,12,2022,5,12
1324,0,592.0,106.56,12,2022,5,12
1148,0,240.0,43.2,12,2022,5,12
416,0,4455.0,801.9,9,2022,5,12
380,0,21400.0,3852.0,9,2022,5,12
1153,0,4533.39,816.01,15,2022,5,12
843,0,374.0,67.32,12,2022,5,12
1039,0,111.6,20.09,12,2022,5,12
1039,0,3561.0,640.98,12,2022,5,12
856,0,5957.1,1072.28,12,2022,5,12
856,0,1310.95,235.97,12,2022,5,12
1103,0,16074.63,2893.43,12,2022,5,12
1166,0,563.64,101.46,12,2022,5,12
97,0,9808.68,1765.56,11,2022,5,12
97,0,18506.49,3331.17,11,2022,5,12
97,0,17898.0,3221.64,11,2022,5,12
519,0,7637.5,1374.75,12,2022,5,12
519,0,5977.5,1075.95,12,2022,5,12
747,0,8102.4,1458.43,14,2022,5,12
747,0,2532.0,455.76,14,2022,5,12
747,0,1597.5,287.55,14,2022,5,12
309,0,214.0,38.52,12,2022,5,12
1052,0,51285.0,9231.3,12,2022,5,12
1286,0,516.98,0.0,11,2022,5,12
1286,0,326.52,0.0,11,2022,5,12
1286,0,408.15,0.0,11,2022,5,12
128,0,1373.82,247.29,12,2022,5,12
109,0,776.77,139.82,12,2022,5,12
499,0,179.64,32.34,12,2022,5,12
307,0,780.0,140.4,12,2022,5,12
772,0,5334.24,960.16,11,2022,5,12
933,0,1370.0,246.6,12,2022,5,12
380,0,3300.0,594.0,9,2022,5,12
380,0,7920.0,1425.6,9,2022,5,12
987,0,2947.5,530.55,5,2022,5,12
418,0,642.0,115.56,12,2022,5,12
1312,0,2961.0,532.98,12,2022,5,12
1225,0,811.2,146.02,11,2022,5,12
392,0,1372.12,246.98,11,2022,5,12
558,0,10032.0,1805.76,12,2022,5,12
676,0,5247.54,0.0,11,2022,5,12
1357,0,478.72,86.17,11,2022,5,12
158,0,21600.0,0.0,12,2022,5,12
558,0,6500.0,1170.0,12,2022,5,12
676,0,3320.0,0.0,12,2022,5,12
1023,0,24003.12,4320.56,11,2022,5,12
394,0,5240.82,943.35,11,2022,5,12
1035,0,12974.6,2335.42,11,2022,5,12
776,0,1755.24,315.94,11,2022,5,12
716,0,4291.2,772.42,11,2022,5,12
685,0,233.51,42.03,12,2022,5,12
157,0,230.4,41.47,12,2022,5,12
20,0,6435.0,1158.3,3,2022,5,12
790,0,317.7,57.19,12,2022,5,12
790,0,317.7,57.19,12,2022,5,12
1401,0,1145.68,206.22,3,2022,5,12
1176,0,1164.0,209.52,14,2022,5,12
1249,0,600.76,108.14,11,2022,5,12
1011,0,727.5,130.95,12,2022,5,12
1243,0,330.0,0.0,12,2022,5,12
234,0,3475.0,625.5,9,2022,5,12
673,0,6310.14,0.0,11,2022,5,12
1143,0,1037.4,186.73,11,2022,5,12
722,0,208.6,0.0,12,2022,5,12
863,0,1404.0,252.72,11,2022,5,12
1078,0,1926.6,346.78,11,2022,5,12
598,0,3651.3,657.23,11,2022,5,12
1294,0,1755.0,315.9,11,2022,5,12
863,0,6963.39,1253.41,11,2022,5,12
1488,0,28915.92,5204.87,11,2022,5,12
912,0,799.71,143.95,11,2022,5,12
1357,0,1576.99,283.87,12,2022,5,12
1466,0,8899.0,1601.82,2,2022,5,12
1424,0,120.0,21.6,9,2022,5,12
1173,0,2708.3,487.49,1,2022,5,12
1281,0,1694.65,305.04,12,2022,5,12
1357,0,389.75,70.16,12,2022,5,12
380,0,8302.53,1494.46,9,2022,5,12
215,0,5235.0,0.0,12,2022,5,12
215,0,3490.0,0.0,12,2022,5,12
1339,0,689.5,124.11,12,2022,5,12
1339,0,4137.0,744.66,12,2022,5,12
17,0,1668.0,300.24,12,2022,5,12
17,0,4170.0,750.6,12,2022,5,12
17,0,556.0,100.08,12,2022,5,12
17,0,2780.0,500.4,12,2022,5,12
17,0,2780.0,500.4,12,2022,5,12
17,0,417.0,75.06,12,2022,5,12
17,0,139.0,25.02,12,2022,5,12
1339,0,940.0,169.2,12,2022,5,12
128,0,1256.0,226.08,12,2022,5,12
109,0,5049.31,908.88,11,2022,5,12
41,0,706.26,127.13,3,2022,5,12
848,0,19200.0,3456.0,12,2022,5,12
848,0,995.0,179.1,12,2022,5,12
72,0,1026.0,184.68,12,2022,5,12
1003,0,1158.1,208.46,12,2022,5,12
1148,0,2993.25,538.79,11,2022,5,12
1148,0,5625.75,1012.64,11,2022,5,12
1148,0,528.64,95.16,11,2022,5,12
1104,0,20800.0,3744.0,12,2022,5,12
380,1,2000.0,360.0,9,2022,5,12
624,0,4929.49,887.31,11,2022,5,12
826,0,3636.0,654.48,9,2022,5,12
1010,0,91.32,16.44,11,2022,5,12
1312,0,8307.6,1495.37,12,2022,5,12
1227,0,13449.04,2420.83,15,2022,5,12
1227,0,2340.32,421.26,15,2022,5,12
400,0,2475.0,445.5,14,2022,5,12
688,0,6525.0,1174.5,12,2022,5,12
1324,0,124.0,22.32,12,2022,5,12
346,0,328.8,59.18,12,2022,5,12
1003,0,146.88,26.44,12,2022,5,12
346,0,270.0,48.6,12,2022,5,12
633,0,477426.86,85936.85,11,2022,5,12
1094,0,194.5,35.01,12,2022,5,12
1417,0,160.2,28.84,11,2022,5,12
1417,0,160.2,28.84,11,2022,5,12
1417,0,160.2,28.84,11,2022,5,12
863,0,278.56,50.14,11,2022,5,12
1417,0,160.2,28.84,11,2022,5,12
193,0,393.02,70.74,11,2022,5,12
228,0,3423.07,616.15,11,2022,5,12
1010,0,273.96,49.32,11,2022,5,12
1039,0,10234.9,1842.28,12,2022,5,12
1010,0,4248.11,764.66,11,2022,5,12
571,0,1727.53,310.96,11,2022,5,12
1327,0,26960.0,4852.8,9,2022,5,12
1473,0,8990.28,1618.25,9,2022,5,12
302,0,20625.0,3712.5,12,2022,5,12
864,0,546.2,98.31,9,2022,5,12
756,0,52.5,9.45,9,2022,5,12
571,0,2055.05,369.91,11,2022,5,12
295,0,5202.49,936.45,3,2022,5,12
858,0,302.0,54.36,12,2022,5,12
401,0,1836.6,330.59,12,2022,5,12
746,0,339.34,61.08,11,2022,5,12
896,0,585.0,105.3,12,2022,5,12
1473,0,29665.0,5339.7,9,2022,5,12
346,0,405.0,72.9,12,2022,5,12
346,0,405.0,72.9,12,2022,5,12
346,0,513.0,92.34,12,2022,5,12
346,0,540.0,97.2,12,2022,5,12
536,0,2125.5,382.59,15,2022,5,12
1227,0,586.8,105.62,15,2022,5,12
1227,0,3373.5,607.23,15,2022,5,12
1420,0,936.0,168.48,11,2022,5,12
912,0,936.0,168.48,11,2022,5,12
1420,0,702.0,126.36,11,2022,5,12
681,0,257.7,46.39,9,2022,5,12
1023,0,1834.64,330.24,11,2022,5,12
1038,0,3226.6,580.79,11,2022,5,12
675,0,69670.98,12540.77,11,2022,5,12
1038,0,3226.6,580.79,11,2022,5,12
1038,0,3071.1,552.8,11,2022,5,12
201,0,1302.15,234.39,11,2022,5,12
1038,0,11062.44,1991.24,11,2022,5,12
1104,0,124.0,22.32,12,2022,5,12
412,0,2134.1,384.14,12,2022,5,12
539,0,1300.0,234.0,12,2022,5,12
756,0,37200.0,6696.0,12,2022,5,12
380,0,34500.0,6210.0,9,2022,5,12
380,0,19012.5,3422.25,9,2022,5,12
965,0,27600.0,4968.0,10,2022,5,12
1038,0,5131.42,923.66,11,2022,5,12
1010,0,583.0,104.94,11,2022,5,12
1023,0,1236.06,222.49,11,2022,5,12
1357,0,813.39,146.41,12,2022,5,12
1100,0,1817.33,327.12,11,2022,5,12
1038,0,2941.12,529.4,11,2022,5,12
1357,0,1088.0,195.84,12,2022,5,12
770,0,1209.48,217.71,11,2022,5,12
1166,0,8260.0,1486.8,12,2022,5,12
855,0,861.0,154.98,12,2022,5,12
539,0,450.0,81.0,12,2022,5,12
1201,0,299.5,53.91,12,2022,5,12
1094,0,700.2,126.04,12,2022,5,12
307,0,2415.42,434.78,12,2022,5,12
307,0,4294.08,772.93,12,2022,5,12
